Bill,Com,Sub,Pass Com,Incorporated,Amd/Sub,Pass Floor,Com,Sub,Pass Com,Passed Floor 2,Returned,To Gov,Returned,Signed by Gov,Disposition
SB918,S-CL,Renewable Energy,0,0,,,,,,,,,,,DiC
SB925,S-F,x,0,0,,,,,,,,,,,DiC
SB990,S-CL,x,1,0,0,1,H-CL,x,1,1,0,1,0,1,PiL
SB1095,S-CL,x,0,0,,,,,,,,,,,DiC
SB1184,S-T,x,0,0,,,,,,,,,,,DiC
SB1208,S-CL,Renewable Energy,0,1,,,,,,,,,,,Inc
SB1258,S-CL,x,1,0,0,1,H-CL,x,1,1,0,1,1,1,PiL
SB1349,S-ACNR; S-F,x,1,0,1,0,,,,,,,,,DiS
SB1359,S-EH,x,1,0,1,1,H-E,Elementary and Secondary Education,1,1,1,1,0,1,PiL
SB1392,S-F,x,0,0,,,,,,,,,,,DiC
SB1393,S-CL,Renewable Energy,1,0,1,1,H-CL,x,1,1,1,1,0,1,PiL
SB1395,S-ACNR,x,1,0,1,1,H-CL,x,1,1,0,1,0,1,PiL
SB1398,S-ACNR,x,1,0,1,1,H-ACNR,Agriculture,1,1,1,1,1,1,PiL
SB1399,S-ACNR,x,0,0,,,,,,,,,,,DiC
SB1471,S-ACNR,x,0,0,,,,,,,,,,,DiC
SB1496,S-ACNR,x,0,1,,,,,,,,,,,Inc
SB1110,S-CL,x,1,0,0,1,H-CL,x,1,0,,,,,DiH/DiC
SB1291,S-ACNR; S-GLT; S-F,; #1;,0,,,,,,,,,,,,DiC
SB1292,S-GLT; S-F,#1;,0,0,,,,,,,,,,,DiC
SB1394,S-CL,Renewable Energy,1,0,1,1,H-CL,x,1,1,0,1,0,1,PiL
SB1470,S-F,x,1,0,0,1,H-F,x,1,1,0,1,0,0,V
SB875,S-F,x,1,0,0,1,H-F,x,1,1,0,1,0,1,PiL
SB886,S-F,x,1,0,0,1,H-F,x,1,1,0,1,0,1,PiL
SB1197,S-CL,Renewable Energy,0,,,,,,,,,,,,
SB1226,S-GLT,#1,1,0,0,1,H-GL,#2,1,1,1,1,0,1,PiL
SB1289,S-CL,x,1,0,1,1,H-CL,x,1,1,0,1,1,1,PiL
SB1383,S-ACNR,x,,,,,,,,,,,,,
SB1388,S-CL,Renewable Energy,,,,,,,,,,,,,
SB1418,S-CL,Renewable Energy,1,0,1,1,H-CL,x,1,1,1,1,1,1,PiL
SB1423,S-CL,,,,,,,,,,,,,,
