"year","committee","pass","fail"
2017,"S-RSS",1,1
2017,"S-GLT",0,0
2017,"H-PS",0,0
2017,"H-CTI",0,0
2017,"H-CCTI",0,0
2017,"S-J",0,0
2017,"S-H",0,0
2017,"S-FA",0,0
2017,"H-CL",0,0
2017,"H-PE",0,0
2017,"S-CL",0,0
2017,"S-PE",0,0
2017,"S-E",0,0
2017,"S-ACNR",0,0
2017,"S-A",0,0
2018,"H-E",48,28
2018,"H-CJ",5,4
2018,"H-HWI",0,4
2018,"H-T",0,0
2018,"H-ST",1,0
2018,"H-MPP",0,0
2018,"H-R",2,4
2018,"S-EH",36,16
2018,"S-CJ",3,0
2018,"S-F",2,6
2018,"S-T",0,0
2018,"S-LG",0,0
2018,"H-GL",2,1
2018,"H-F",0,2
2018,"H-A",2,22
2018,"H-ACNR",0,0
2018,"S-R",2,1
2018,"S-RSS",0,0
2018,"S-GLT",1,0
2018,"H-PS",0,0
2018,"H-CTI",0,0
2018,"H-CCTI",0,0
2018,"S-J",0,0
2018,"S-H",0,0
2018,"S-FA",0,0
2018,"H-CL",0,0
2018,"H-PE",0,0
2018,"S-CL",0,0
2018,"S-PE",0,0
2018,"S-E",0,0
2018,"S-ACNR",1,0
2018,"S-A",0,0
2019,"H-E",43,11
2019,"H-CJ",6,9
2019,"H-HWI",3,0
2019,"H-T",0,0
2019,"H-ST",0,0
2019,"H-MPP",2,0
2019,"H-R",0,2
2019,"S-EH",39,16
2019,"S-CJ",7,2
2019,"S-F",9,1
2019,"S-T",0,0
2019,"S-LG",0,0
2019,"H-GL",3,0
2019,"H-F",1,0
2019,"H-A",8,20
2019,"H-ACNR",0,0
2019,"S-R",2,0
2019,"S-RSS",2,0
2019,"S-GLT",1,0
2019,"H-PS",0,0
2019,"H-CTI",0,0
2019,"H-CCTI",0,0
2019,"S-J",0,0
2019,"S-H",0,0
2019,"S-FA",0,0
2019,"H-CL",0,0
2019,"H-PE",0,0
2019,"S-CL",0,0
2019,"S-PE",0,0
2019,"S-E",0,0
2019,"S-ACNR",0,0
2019,"S-A",0,0
2020,"H-E",56,36
2020,"H-CJ",5,2
2020,"H-HWI",2,1
2020,"H-T",0,0
2020,"H-ST",0,0
2020,"H-MPP",0,0
2020,"H-R",3,2
2020,"S-EH",55,13
2020,"S-CJ",0,0
2020,"S-F",0,0
2020,"S-T",0,0
2020,"S-LG",0,0
2020,"H-GL",1,0
2020,"H-F",0,0
2020,"H-A",13,4
2020,"H-ACNR",0,0
2020,"S-R",4,2
2020,"S-RSS",1,1
2020,"S-GLT",0,0
2020,"H-PS",3,1
2020,"H-CTI",0,1
2020,"H-CCTI",1,0
2020,"S-J",8,2
2020,"S-H",1,0
2020,"S-FA",9,4
2020,"H-CL",0,0
2020,"H-PE",0,0
2020,"S-CL",0,0
2020,"S-PE",0,0
2020,"S-E",0,0
2020,"S-ACNR",0,0
2020,"S-A",0,1
2021,"H-E",25,7
2021,"H-CJ",0,0
2021,"H-HWI",0,0
2021,"H-T",0,0
2021,"H-ST",0,0
2021,"H-MPP",0,0
2021,"H-R",2,1
2021,"S-EH",26,3
2021,"S-CJ",0,0
2021,"S-F",0,0
2021,"S-T",0,0
2021,"S-LG",0,0
2021,"H-GL",0,0
2021,"H-F",0,0
2021,"H-A",4,1
2021,"H-ACNR",0,0
2021,"S-R",0,1
2021,"S-RSS",0,0
2021,"S-GLT",0,1
2021,"H-PS",1,0
2021,"H-CTI",0,0
2021,"H-CCTI",0,0
2021,"S-J",0,0
2021,"S-H",0,0
2021,"S-FA",5,0
2021,"H-CL",1,0
2021,"H-PE",0,2
2021,"S-CL",1,0
2021,"S-PE",1,0
2021,"S-E",1,0
2021,"S-ACNR",0,0
2021,"S-A",0,0
2022,"H-E",42,38
2022,"H-CJ",1,0
2022,"H-HWI",0,0
2022,"H-T",0,0
2022,"H-ST",0,0
2022,"H-MPP",0,0
2022,"H-R",0,2
2022,"S-EH",41,15
2022,"S-CJ",0,0
2022,"S-F",0,0
2022,"S-T",0,0
2022,"S-LG",0,0
2022,"H-GL",0,0
2022,"H-F",0,0
2022,"H-A",9,2
2022,"H-ACNR",0,0
2022,"S-R",0,2
2022,"S-RSS",0,0
2022,"S-GLT",0,0
2022,"H-PS",0,0
2022,"H-CTI",0,0
2022,"H-CCTI",0,0
2022,"S-J",1,1
2022,"S-H",0,0
2022,"S-FA",11,7
2022,"H-CL",0,0
2022,"H-PE",0,0
2022,"S-CL",0,0
2022,"S-PE",0,0
2022,"S-E",1,0
2022,"S-ACNR",0,0
2022,"S-A",0,0
NA,NA,NA,NA
