"year","committee","pass","fail"
2020,"H-F",1,4
2020,"H-CCT",3,0
2020,"H-A",3,8
2020,"H-GL",4,2
2020,"S-R",0,3
2020,"S-CL",23,4
2020,"S-T",1,0
2020,"S-LG",3,0
2020,"S-F",0,0
2020,"S-ACNR",18,3
2020,"S-GLT",7,2
2020,"H-E",2,0
2020,"S-PE",0,1
2020,"H-T",2,1
2020,"S-EH",1,0
2020,"H-HWI",0,0
2020,"H-PE",0,0
2020,"S-CJ",0,0
2020,"H-CJ",1,0
2020,"S-FA",5,0
2020,"S-CE",0,0
2020,"H-PS",0,0
2020,"H-CTI",1,0
2020,"S-GL",0,0
2021,"H-ACNR",15,1
2021,"H-R",2,2
2021,"H-CL",15,7
2021,"H-F",2,0
2021,"H-CCT",4,0
2021,"H-A",8,0
2021,"H-GL",4,0
2021,"S-R",2,1
2021,"S-CL",10,6
2021,"S-T",2,0
2021,"S-LG",4,0
2021,"S-F",0,0
2021,"S-ACNR",12,2
2021,"S-GLT",4,2
2021,"H-E",0,0
2021,"S-PE",6,3
2021,"H-T",1,0
2021,"S-EH",0,0
2021,"H-HWI",0,0
2021,"H-PE",6,8
2021,"S-CJ",0,0
2021,"H-CJ",0,0
2021,"S-FA",12,0
2021,"S-CE",0,0
2021,"H-PS",0,0
2021,"H-CTI",0,0
2021,"S-GL",1,0
2022,"H-ACNR",24,14
2022,"H-R",0,5
2022,"H-CL",19,9
2022,"H-F",1,1
2022,"H-CCT",3,6
2022,"H-A",4,8
2022,"H-GL",3,5
2022,"S-R",0,0
2022,"S-CL",11,5
2022,"S-T",7,1
2022,"S-LG",3,1
2022,"S-F",0,0
2022,"S-ACNR",21,5
2022,"S-GLT",4,0
2022,"H-E",1,1
2022,"S-PE",2,4
2022,"H-T",6,4
2022,"S-EH",2,0
2022,"H-HWI",1,1
2022,"H-PE",3,14
2022,"S-CJ",0,0
2022,"H-CJ",0,0
2022,"S-FA",16,4
2022,"S-CE",3,0
2022,"H-PS",1,1
2022,"H-CTI",0,0
2022,"S-GL",0,0
2023,"H-ACNR",11,5
2023,"H-R",1,2
2023,"H-CL",14,10
2023,"H-F",3,1
2023,"H-CCT",1,2
2023,"H-A",5,5
2023,"H-GL",1,2
2023,"S-R",4,1
2023,"S-CL",10,11
2023,"S-T",4,0
2023,"S-LG",3,1
2023,"S-F",0,0
2023,"S-ACNR",9,10
2023,"S-GLT",0,1
2023,"H-E",0,0
2023,"S-PE",0,0
2023,"H-T",3,0
2023,"S-EH",0,0
2023,"H-HWI",0,0
2023,"H-PE",0,1
2023,"S-CJ",0,0
2023,"H-CJ",0,0
2023,"S-FA",11,1
2023,"S-CE",0,0
2023,"H-PS",0,0
2023,"H-CTI",0,0
2023,"S-GL",0,0
