Bill,Session,SC Position,Com 1,Pass Com 1,Incorporated,Pass Floor 1,Com 2,Pass Com 2,Pass Floor 2,Amended,To Gov,Returned,Passed,Disposition,File Date,Final Date,Sponsor 1,Sponsor 2,Sponsor 3,Sponsor 4,Sponsor 5,Sponsor 6,Sponsor 7,Sponsor 8,Sponsor 9,Sponsor 10,Sponsor 11,Sponsor 12,Sponsor 13,Sponsor 14,Sponsor 15,Sponsor 16,Sponsor 17,Sponsor 18,Sponsor 19,Sponsor 20,Sponsor 21,Sponsor 22,Sponsor 23,Sponsor 24,Sponsor 25,Sponsor 26,Sponsor 27,Sponsor 28,Sponsor 29,Sponsor 30,Sponsor 31,Sponsor 32,Sponsor 33,Sponsor 34,Sponsor 35,Sponsor 36,Sponsor 37,Sponsor 38,Sponsor 39,Sponsor 40,Sponsor 41,Sponsor 42,Sponsor 43,Sponsor 44,Sponsor 45,Sponsor 46,Sponsor 47,Sponsor 48,Sponsor 49,Sponsor 50,Sponsor 51,Sponsor 52,Sponsor 53,Sponsor 54,Sponsor 55
HB1295 ,2020,1,H-F ,0,0,,,,,,,,0,DiC,20200108,20200211,Dan Helmer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HB1298  ,2020,1,H-ACNR; H-LC,0,0,,,,,,,,0,DiC,20200108,20200206,Kaye Kory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HB1327  ,2020,1,H-F,1,0,1,S-FA,1,1,1,1,0,1,PiL,20200108,20200327,Terry Austin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HB1450  ,2020,1,H-ACNR; H-LC,1,0,1,S-ACNR,1,1,1,0,,0,DiH,20200108,20200312,Rip Sullivan,Alfonso Lopez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HB1451  ,2020,1,H-ACNR; H-LC,1,0,1,S-ACNR,1,1,1,0,,0,DiH,20200108,20200312,Rip Sullivan,Alfonso Lopez,Jennifer Carroll Foy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HB1526 ,2020,1,H-LC,1,0,1,S-CL,1,1,1,1,0,1,PiL,20200109,20200411,Rip Sullivan,Lamont Bagby,Jennifer Carroll Foy,Dan Helmer,Alfonso Lopez,Dawn Adams,Lashrecse Aird,Hala Ayala,Jeff Bourne,David Bulova,Betsy Carr,Karrie Delaney,Wendy Gooditis,Steve Heretick,Patrick Hope,Jay Jones,Kaye Kory,David Reid,Shelly Simonds,Luke Torian,Kathy Tran,Schuyler VanValkenburg,Rodney Willett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HB1641  ,2020,1,H-ACNR,1,0,1,S-ACNR,1,1,1,1,0,1,PiL,20200116,20200402,Hala Ayala,Jennifer Carroll Foy,David Bulova,Joshua Cole,Kelly Fowler,Karrie Delaney,James Edmunds,Wendy Gooditis,Cliff Hayes,Dan Helmer,Charniele Herring,Patrick Hope,Chris Hurst,Jay Jones,Mark Keam,Paul Krizek,Jay Leftwich,Mark Levine,Joe Lindsey,Alfonso Lopez,Kathleen Murphy,Ken Plum,Sam Rasoul,Danica Roem,Mark Sickles,Marcus Simon,Kathy Tran,Vivian Watts,,,,,,,,,,,,,,,,,,,,,,,,,,,
HB1642 ,2020,1,H-ACNR,1,0,1,S-ACNR,1,1,1,1,0,1,PiL,20200116,20200407,Hala Ayala,Jennifer Carroll Foy,David Bulova,Kelly Fowler,Cliff Hayes,Patrick Hope,Chris Hurst,Mark Keam,Jay Leftwich,Mark Levine,Joe Lindsey,Alfonso Lopez,Ken Plum,Mark Sickles,Marcus Simon,Suhas Subramanyam,Kathy Tran,Vivian Watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HB1647  ,2020,1,H-LC,1,0,1,S-CL,1,1,1,1,1,1,PiL,20200116,20200422,Jay Jones,Jennifer Carroll Foy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HB1707 ,2020,1,H-ACNR,1,0,1,S-ACNR,1,1,0,1,0,1,PiL,20200117,20200407,Lashrecse Aird,Jennifer Carroll Foy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
